id,full_name,first_name,last_name,is_active,GP_TOTAL,MIN_PG,AST_PCT_percentile,DREB_PCT_percentile,OREB_PCT_percentile,TOV_PCT_percentile,Midrange_volume_pm_percentile,Midrange_efficiency_percentile,Paint_volume_pm_percentile,Paint_efficiency_percentile,Corner_volume_pm_percentile,Corner_efficiency_percentile,Above_the_break_volume_pm_percentile,Above_the_break_efficiency_percentile,Tight_volume_pm_percentile,Tight_efficiency_percentile,Open_volume_pm_percentile,Open_efficiency_percentile,Paint_defense_volume_pm_percentile,Paint_defense_deterance_percentile,Perimeter_defense_volume_pm_percentile,Perimeter_defense_deterance_percentile,Catch_and_Shoot_Volume_percentile,Catch_and_Shoot_Efficiency_percentile,Pull_up_Volume_percentile,Pull_up_Efficiency_percentile
1630173,Precious Achiuwa,Precious,Achiuwa,True,55,20.78181818181818,0.060546875,0.900390625,0.890625,0.66015625,0.37890625,0.060546875,0.765625,0.66796875,0.6171875,0.146484375,0.19921875,0.14453125,0.671875,0.671875,0.25390625,0.06640625,0.83203125,0.595703125,0.65234375,0.1015625,0.43359375,0.0625,0.5078125,0.267578125
1628389,Bam Adebayo,Bam,Adebayo,True,75,34.64,0.333984375,0.8828125,0.830078125,0.73828125,0.6953125,0.361328125,0.98828125,0.49609375,0.025390625,0.037109375,0.078125,0.072265625,0.91796875,0.55859375,0.25,0.4921875,0.625,0.578125,0.359375,0.55859375,0.1640625,0.125,0.73828125,0.427734375
1630534,Ochai Agbaji,Ochai,Agbaji,True,59,20.491525423728813,0.27734375,0.00390625,0.541015625,0.2265625,0.26171875,0.17578125,0.2421875,0.37890625,0.984375,0.8515625,0.5078125,0.115234375,0.23828125,0.3046875,0.53515625,0.40625,0.390625,0.646484375,0.59375,0.953125,0.85546875,0.6171875,0.37890625,0.349609375
1630583,Santi Aldama,Santi,Aldama,True,77,21.87012987012987,0.29296875,0.744140625,0.701171875,0.26953125,0.2578125,0.29296875,0.33203125,0.734375,0.88671875,0.43359375,0.42578125,0.55078125,0.3046875,0.62890625,0.42578125,0.5390625,0.875,0.541015625,0.90234375,0.744140625,0.7578125,0.5234375,0.3515625,0.595703125
1628960,Grayson Allen,Grayson,Allen,True,72,27.38888888888889,0.626953125,0.0859375,0.46484375,0.3359375,0.21484375,0.078125,0.12109375,0.390625,0.60546875,0.876953125,0.734375,0.72265625,0.078125,0.46484375,0.5546875,0.69921875,0.37890625,0.212890625,0.3359375,0.73046875,0.6640625,0.8828125,0.234375,0.6953125
1628386,Jarrett Allen,Jarrett,Allen,True,68,32.76470588235294,0.255859375,0.89453125,0.939453125,0.58203125,0.328125,0.2109375,0.85546875,0.94140625,0.08984375,0.037109375,0.0625,0.373046875,0.68359375,0.96484375,0.08203125,0.81640625,0.84765625,0.912109375,0.66015625,0.380859375,0.06640625,0.02734375,0.23046875,0.947265625
1630631,Jose Alvarado,Jose,Alvarado,True,61,21.491803278688526,0.8203125,0.15625,0.26953125,0.61328125,0.25,0.0859375,0.4765625,0.138671875,0.80859375,0.58203125,0.64453125,0.26953125,0.44140625,0.17578125,0.63671875,0.13671875,0.203125,0.25,0.88671875,0.96875,0.87109375,0.298828125,0.58203125,0.123046875
203937,Kyle Anderson,Kyle,Anderson,True,69,28.333333333333332,0.96875,0.69921875,0.541015625,0.65234375,0.3359375,0.1796875,0.5234375,0.40625,0.33984375,0.83203125,0.12890625,0.701171875,0.3671875,0.6875,0.12890625,0.42578125,0.4375,0.75,0.4375,0.2890625,0.14453125,0.8515625,0.1484375,0.525390625
203507,Giannis Antetokounmpo,Giannis,Antetokounmpo,True,63,32.15873015873016,0.4921875,0.98046875,0.81640625,0.7734375,0.9140625,0.26953125,1.0,0.8515625,0.07421875,0.1015625,0.36328125,0.115234375,1.0,0.8984375,0.67578125,0.05078125,0.4453125,1.0,0.52734375,0.689453125,0.09765625,0.095703125,1.0,0.6953125
1630175,Cole Anthony,Cole,Anthony,True,60,25.866666666666667,0.80078125,0.7109375,0.46484375,0.43359375,0.83984375,0.619140625,0.51953125,0.24609375,0.16015625,0.46875,0.56640625,0.626953125,0.51953125,0.33203125,0.640625,0.25390625,0.3203125,0.201171875,0.828125,0.892578125,0.42578125,0.462890625,0.640625,0.228515625
